0.05668824s, 0.00522246s, 0.00023392s, 0.05123186s, 326.59MB
0.05260623s, 0.00525490s, 0.00015049s, 0.04720083s, 326.85MB
0.06621129s, 0.00852264s, 0.00019257s, 0.05749608s, 326.85MB
0.04751614s, 0.00433991s, 0.00011986s, 0.04305637s, 326.85MB
0.05549286s, 0.00853566s, 0.00011633s, 0.04684088s, 327.11MB
0.04745373s, 0.00338205s, 0.00009769s, 0.04397399s, 327.11MB
0.06459127s, 0.00608446s, 0.00011988s, 0.05838693s, 327.11MB
0.06631088s, 0.00795755s, 0.00020455s, 0.05814877s, 327.37MB
0.06220661s, 0.00487425s, 0.00012021s, 0.05721216s, 327.88MB
0.06790654s, 0.00846950s, 0.00030728s, 0.05912976s, 327.88MB
0.06320850s, 0.00765336s, 0.00019459s, 0.05536055s, 327.88MB
0.05832345s, 0.00434376s, 0.00012034s, 0.05385936s, 327.88MB
0.06713421s, 0.00842524s, 0.00011402s, 0.05859495s, 327.88MB
0.06096284s, 0.00891189s, 0.00024385s, 0.05180710s, 328.14MB
0.06727423s, 0.00843468s, 0.00018850s, 0.05865105s, 328.40MB
0.05527462s, 0.00378057s, 0.00009889s, 0.05139516s, 328.66MB
0.06362961s, 0.00806879s, 0.00013342s, 0.05542740s, 328.66MB
0.06305706s, 0.00792468s, 0.00009331s, 0.05503907s, 328.66MB
0.05760288s, 0.00345399s, 0.00011127s, 0.05403762s, 328.91MB
0.06200140s, 0.00764721s, 0.00022806s, 0.05412614s, 329.17MB
0.05626094s, 0.00871613s, 0.00021781s, 0.04732700s, 329.43MB
0.05259593s, 0.00715901s, 0.00017151s, 0.04526541s, 329.69MB
0.05730574s, 0.00830754s, 0.00010229s, 0.04889590s, 329.69MB
0.05407952s, 0.00854491s, 0.00011377s, 0.04542083s, 329.95MB
0.06996368s, 0.00453800s, 0.00013590s, 0.06528978s, 329.95MB
0.05688520s, 0.00347429s, 0.00009115s, 0.05331976s, 329.95MB
0.05311827s, 0.00436123s, 0.00015344s, 0.04860361s, 329.95MB
0.06096031s, 0.00787722s, 0.00020347s, 0.05287963s, 329.95MB
0.06178838s, 0.00790238s, 0.00019750s, 0.05368850s, 330.46MB
0.06098772s, 0.00470080s, 0.00013480s, 0.05615212s, 330.46MB
0.06175788s, 0.00844914s, 0.00011295s, 0.05319579s, 330.72MB
0.05612218s, 0.00458037s, 0.00015501s, 0.05138680s, 330.98MB
0.05973749s, 0.00824219s, 0.00014556s, 0.05134974s, 331.49MB
0.06029558s, 0.00618417s, 0.00014985s, 0.05396156s, 331.49MB
0.04828851s, 0.00453461s, 0.00012864s, 0.04362526s, 332.01MB
